rect,N,exactArea,estArea,relError,absError
Wider,48100,0.944517,0.919641,0.0263371,0.0248758
Wider,48600,0.944517,0.934378,0.0107352,0.0101396
Wider,49100,0.944517,0.948065,0.0037564,0.00354799
Wider,49600,0.944517,0.941719,0.00296282,0.00279844
Wider,50100,0.944517,0.953593,0.00960875,0.00907563
Wider,50600,0.944517,0.935939,0.00908237,0.00857845
Wider,51100,0.944517,0.973288,0.0304605,0.0287705
Wider,51600,0.944517,0.949138,0.00489182,0.00462041
Wider,52100,0.944517,0.949434,0.00520541,0.0049166
Wider,52600,0.944517,0.939943,0.00484292,0.00457422
Wider,53100,0.944517,0.923941,0.0217852,0.0205765
Wider,53600,0.944517,0.940005,0.0047776,0.00451252
Wider,54100,0.944517,0.935846,0.00918091,0.00867153
Wider,54600,0.944517,0.966987,0.0237899,0.02247
Wider,55100,0.944517,0.942427,0.00221254,0.00208978
Wider,55600,0.944517,0.958408,0.0147071,0.0138911
Wider,56100,0.944517,0.956417,0.012599,0.0118999
Wider,56600,0.944517,0.954894,0.0109864,0.0103768
Wider,57100,0.944517,0.936449,0.0085419,0.00806797
Wider,57600,0.944517,0.945972,0.00154051,0.00145504
Wider,58100,0.944517,0.92012,0.0258298,0.0243967
Wider,58600,0.944517,0.928575,0.0168786,0.0159421
Wider,59100,0.944517,0.930047,0.0153207,0.0144707
Wider,59600,0.944517,0.956158,0.0123243,0.0116405
Wider,60100,0.944517,0.96879,0.0256981,0.0242723
Wider,60600,0.944517,0.952913,0.00888852,0.00839536
Wider,61100,0.944517,0.97178,0.0288641,0.0272627
Wider,61600,0.944517,0.923523,0.0222277,0.0209945
Wider,62100,0.944517,0.927134,0.0184047,0.0173835
Wider,62600,0.944517,0.946146,0.00172467,0.00162898
Wider,63100,0.944517,0.95185,0.00776381,0.00733305
Wider,63600,0.944517,0.943404,0.00117848,0.0011131
Wider,64100,0.944517,0.937192,0.0077556,0.0073253
Wider,64600,0.944517,0.923301,0.0224624,0.0212161
Wider,65100,0.944517,0.950269,0.00608949,0.00575163
Wider,65600,0.944517,0.963941,0.0205643,0.0194234
Wider,66100,0.944517,0.943862,0.000694125,0.000655613
Wider,66600,0.944517,0.932177,0.0130649,0.01234
Wider,67100,0.944517,0.948051,0.00374184,0.00353423
Wider,67600,0.944517,0.935422,0.00962988,0.00909559
Wider,68100,0.944517,0.931072,0.014235,0.0134452
Wider,68600,0.944517,0.9625,0.0190392,0.0179828
Wider,69100,0.944517,0.921852,0.0239962,0.0226648
Wider,69600,0.944517,0.927374,0.0181499,0.0171429
Wider,70100,0.944517,0.949593,0.00537444,0.00507625
Wider,70600,0.944517,0.947033,0.00266315,0.00251539
Wider,71100,0.944517,0.944508,1.00054e-05,9.45032e-06
Wider,71600,0.944517,0.963575,0.0201778,0.0190582
Wider,72100,0.944517,0.946189,0.00177036,0.00167213
Wider,72600,0.944517,0.960764,0.0172017,0.0162473
Wider,73100,0.944517,0.942965,0.00164324,0.00155207
Wider,73600,0.944517,0.946213,0.00179504,0.00169545
Wider,74100,0.944517,0.95669,0.0128882,0.0121731
Wider,74600,0.944517,0.935992,0.00902602,0.00852523
Wider,75100,0.944517,0.943299,0.00128981,0.00121825
Wider,75600,0.944517,0.950833,0.00668717,0.00631615
Wider,76100,0.944517,0.950864,0.00671963,0.00634681
Wider,76600,0.944517,0.946896,0.00251878,0.00237903
Wider,77100,0.944517,0.959027,0.0153624,0.0145101
Wider,77600,0.944517,0.949691,0.00547744,0.00517354
Wider,78100,0.944517,0.947218,0.00285979,0.00270112
Wider,78600,0.944517,0.92514,0.0205155,0.0193772
Wider,79100,0.944517,0.942677,0.00194829,0.00184019
Wider,79600,0.944517,0.939372,0.00544757,0.00514533
Wider,80100,0.944517,0.94666,0.00226914,0.00214324
Wider,80600,0.944517,0.938356,0.00652302,0.00616111
Wider,81100,0.944517,0.947223,0.0028643,0.00270538
Wider,81600,0.944517,0.920702,0.0252146,0.0238156
Wider,82100,0.944517,0.947174,0.00281307,0.00265699
Wider,82600,0.944517,0.948559,0.00427958,0.00404214
Wider,83100,0.944517,0.932828,0.0123759,0.0116893
Wider,83600,0.944517,0.937799,0.00711278,0.00671814
Wider,84100,0.944517,0.944313,0.000215844,0.000203868
Wider,84600,0.944517,0.950895,0.00675287,0.0063782
Wider,85100,0.944517,0.952074,0.00800075,0.00755684
Wider,85600,0.944517,0.936495,0.00849308,0.00802186
Wider,86100,0.944517,0.951402,0.00728971,0.00688525
Wider,86600,0.944517,0.951992,0.00791381,0.00747473
Wider,87100,0.944517,0.928806,0.0166341,0.0157112
Wider,87600,0.944517,0.939167,0.00566482,0.00535052
Wider,88100,0.944517,0.941484,0.00321125,0.00303308
Wider,88600,0.944517,0.929534,0.0158629,0.0149828
Wider,89100,0.944517,0.953328,0.00932808,0.00881054
Wider,89600,0.944517,0.917656,0.0284388,0.0268609
Wider,90100,0.944517,0.937852,0.0070563,0.0066648
